iter	Logloss
0	0.6734981764
1	0.652093912
2	0.6372286705
3	0.6290911439
4	0.6169096262
5	0.6035874464
6	0.5942887745
7	0.5795051227
8	0.5641401694
9	0.5499637667
10	0.5366052935
11	0.5281856706
12	0.5164294828
13	0.5052298358
14	0.4989461202
15	0.4927242538
16	0.481215277
17	0.4725338878
18	0.462148912
19	0.4546701479
20	0.4469217669
21	0.4394497832
22	0.4332400833
23	0.4271225472
24	0.4219433871
25	0.4166059243
26	0.4099599613
27	0.4020897105
28	0.394385867
29	0.389558205
30	0.3835481628
31	0.3791045262
32	0.3745223718
33	0.3687398668
34	0.365535999
35	0.3606227146
36	0.3571036932
37	0.3519790161
38	0.3497272919
39	0.3449705973
40	0.3399740847
41	0.3343055326
42	0.3303994018
43	0.3279303491
44	0.3238843757
45	0.3191132958
46	0.3156103765
47	0.3128366214
48	0.3079247831
49	0.3043188737
50	0.3007573034
51	0.2962084184
52	0.2909716579
53	0.2858398005
54	0.2827137285
55	0.2794761301
56	0.2765988357
57	0.2751062997
58	0.2729283983
59	0.2707570089
60	0.2683819176
61	0.2667063753
62	0.2649112294
63	0.2624457751
64	0.2608266178
65	0.2580419868
66	0.2553357889
67	0.2533874022
68	0.2515856908
69	0.2485217903
70	0.2457365032
71	0.24430579
72	0.2432572028
73	0.2407151171
74	0.2393895766
75	0.2374997451
76	0.2355371257
77	0.2330658725
78	0.2306046408
79	0.228320202
80	0.2255459211
81	0.223412624
82	0.22076701
83	0.2190074932
84	0.2169375397
85	0.2151201841
86	0.2141913176
87	0.2131626316
88	0.2118869786
89	0.2104333561
90	0.209251533
91	0.2083570634
92	0.2073682758
93	0.2064569999
94	0.2043272123
95	0.2033233509
96	0.2023413103
97	0.2013582582
98	0.1999448192
99	0.1989196372
100	0.1976756103
101	0.196639247
102	0.1948783231
103	0.1928648559
104	0.1921799216
105	0.1916099118
106	0.190764845
107	0.1901622721
108	0.1894112714
109	0.1884653167
110	0.1874707291
111	0.1854491568
112	0.1838550646
113	0.1825548878
114	0.1814676356
115	0.180764527
116	0.1791572203
117	0.1775748596
118	0.1766188746
119	0.1761004646
120	0.174854117
121	0.1735738026
122	0.1725616956
123	0.1721096908
124	0.1708831141
125	0.1701110557
126	0.1696257012
127	0.167844603
128	0.1659790901
129	0.1643777072
130	0.1636322325
131	0.1633076891
132	0.1628245093
133	0.1615279824
134	0.1608087259
135	0.1600511052
136	0.1589472383
137	0.1576247616
138	0.1563612546
139	0.15550173
140	0.1541608795
141	0.1535453384
142	0.1525740323
143	0.1517071178
144	0.1506303159
145	0.1493291677
146	0.1477399418
147	0.1475019901
148	0.1467750997
149	0.1457051473
150	0.1446037883
151	0.1434368307
152	0.142465675
153	0.1417602947
154	0.1406181728
155	0.1399402128
156	0.1388752193
157	0.1386844443
158	0.1379811017
159	0.1368490302
160	0.1362349976
161	0.1349653863
162	0.1340139024
163	0.1329323555
164	0.1320820869
165	0.1312086538
166	0.1306123979
167	0.1301492787
168	0.1292981645
169	0.128465248
170	0.1276366154
171	0.1268201821
172	0.1258094556
173	0.1256822949
174	0.124883947
175	0.1240398416
176	0.1239148579
177	0.1230296075
178	0.1222193876
179	0.1221001059
180	0.1212915115
181	0.1203998862
182	0.1196390791
183	0.1189468698
184	0.1183231378
185	0.1173808218
186	0.1167385344
187	0.1162893471
188	0.1157258237
189	0.1152606278
190	0.1146302368
191	0.1141839016
192	0.1134490421
193	0.1127418202
194	0.1125358131
195	0.1120747996
196	0.111563863
197	0.1111573148
198	0.1105236695
199	0.1099764487
