iter	Passed	Remaining
0	41	8216
1	72	7159
2	104	6831
3	135	6644
4	165	6470
5	195	6308
6	223	6165
7	253	6081
8	284	6031
9	312	5928
10	339	5834
11	366	5737
12	392	5651
13	419	5573
14	447	5519
15	473	5447
16	498	5370
17	523	5288
18	547	5215
19	571	5145
20	595	5076
21	620	5020
22	645	4967
23	669	4910
24	693	4854
25	717	4798
26	740	4745
27	764	4696
28	788	4649
29	812	4604
30	836	4561
31	861	4521
32	884	4477
33	909	4439
34	934	4403
35	959	4369
36	982	4330
37	1007	4296
38	1031	4257
39	1056	4225
40	1080	4189
41	1104	4156
42	1128	4118
43	1151	4084
44	1175	4050
45	1199	4016
46	1223	3983
47	1247	3951
48	1272	3921
49	1295	3887
50	1320	3856
51	1343	3824
52	1367	3792
53	1391	3761
54	1414	3730
55	1439	3701
56	1463	3671
57	1487	3642
58	1511	3612
59	1536	3584
60	1559	3554
61	1583	3524
62	1607	3495
63	1631	3466
64	1655	3438
65	1678	3408
66	1703	3381
67	1727	3353
68	1752	3327
69	1777	3300
70	1801	3273
71	1825	3245
72	1850	3218
73	1874	3191
74	1898	3163
75	1922	3137
76	1948	3113
77	1972	3085
78	1996	3058
79	2020	3031
80	2044	3003
81	2069	2977
82	2092	2949
83	2117	2923
84	2140	2896
85	2165	2870
86	2189	2843
87	2213	2816
88	2237	2790
89	2261	2763
90	2285	2737
91	2309	2711
92	2334	2685
93	2357	2658
94	2382	2632
95	2405	2606
96	2431	2581
97	2454	2555
98	2479	2529
99	2502	2502
100	2526	2476
101	2550	2450
102	2574	2424
103	2599	2399
104	2623	2373
105	2647	2347
106	2671	2321
107	2696	2296
108	2720	2271
109	2746	2247
110	2772	2223
111	2799	2199
112	2824	2174
113	2849	2149
114	2874	2124
115	2899	2099
116	2926	2076
117	2952	2051
118	2977	2027
119	3003	2002
120	3029	1977
121	3053	1952
122	3079	1927
123	3104	1902
124	3131	1878
125	3156	1853
126	3181	1828
127	3206	1803
128	3230	1778
129	3255	1752
130	3280	1727
131	3305	1702
132	3330	1677
133	3355	1652
134	3379	1627
135	3404	1602
136	3429	1577
137	3454	1551
138	3478	1526
139	3501	1500
140	3525	1475
141	3550	1450
142	3574	1424
143	3598	1399
144	3622	1373
145	3646	1348
146	3669	1323
147	3694	1298
148	3718	1272
149	3743	1247
150	3767	1222
151	3791	1197
152	3816	1172
153	3841	1147
154	3865	1122
155	3890	1097
156	3915	1072
157	3940	1047
158	3964	1022
159	3988	997
160	4012	972
161	4037	946
162	4062	922
163	4086	896
164	4111	872
165	4137	847
166	4163	822
167	4191	798
168	4217	773
169	4244	749
170	4271	724
171	4298	699
172	4324	674
173	4351	650
174	4379	625
175	4407	600
176	4434	576
177	4463	551
178	4488	526
179	4513	501
180	4538	476
181	4564	451
182	4590	426
183	4615	401
184	4640	376
185	4665	351
186	4690	326
187	4714	300
188	4739	275
189	4763	250
190	4793	225
191	4821	200
192	4846	175
193	4871	150
194	4896	125
195	4923	100
196	4949	75
197	4974	50
198	5000	25
199	5025	0
